x_openingsales,open_res_own_snow_6,open_res_own_snow_0,open_res_own_rain_6,open_res_own_rain_0,open_res_own_mat5_10_6,open_res_own_mat5_10_0,open_res_own_mat5_15_6,open_res_own_mat5_15_0,open_res_own_mat5_20_6,open_res_own_mat5_20_0,open_res_own_mat5_25_6,open_res_own_mat5_25_0,open_res_own_mat5_30_6,open_res_own_mat5_30_0,open_res_own_mat5_35_6,open_res_own_mat5_35_0,open_res_own_mat5_40_6,open_res_own_mat5_40_0,open_res_own_mat5_45_6,open_res_own_mat5_45_0,open_res_own_mat5_50_6,open_res_own_mat5_50_0,open_res_own_mat5_55_6,open_res_own_mat5_55_0,open_res_own_mat5_60_6,open_res_own_mat5_60_0,open_res_own_mat5_65_6,open_res_own_mat5_65_0,open_res_own_mat5_70_6,open_res_own_mat5_70_0,open_res_own_mat5_75_6,open_res_own_mat5_75_0,open_res_own_mat5_80_6,open_res_own_mat5_80_0,open_res_own_mat5_85_6,open_res_own_mat5_85_0,open_res_own_mat5_90_6,open_res_own_mat5_90_0,open_res_own_mat5_95_6,open_res_own_mat5_95_0,open_res_own_prec_0_6,open_res_own_prec_0_0,open_res_own_prec_1_6,open_res_own_prec_1_0,open_res_own_prec_2_6,open_res_own_prec_2_0,open_res_own_prec_3_6,open_res_own_prec_3_0,open_res_own_prec_4_6,open_res_own_prec_4_0,open_res_own_prec_5_6,open_res_own_prec_5_0,y_ticketsales
.44129476,.035467826,.028690241,.10866715,.071128473,.0021896395,.0015740503,.0017203597,.0016761344,.0026855946,.0024900604,.003925364,.0044796886,.0033920074,.0044601052,.0036032288,.0043122917,.016504699,.040359542,-.000012630556,.0072966781,.044401437,-.047109772,.036783505,.027024699,.093416989,-.036212273,-.086576328,-.044614099,-.037980087,.026639553,-.0085406397,-.019348765,-.051808748,-.0054391385,-.021485811,.034172036,-.0065875063,-.012830262,.0043689292,.011069478,-.095361292,-.14857532,.03266038,.02209606,.02829415,.0096388087,.0032521167,.025189562,.017530113,.023447078,.013624541,.068203822,.23115686
2.0565736,.0014063071,-.00077837368,.038147192,-.085659869,.0022535021,.0016379127,.0017486531,.0017044279,.002718539,.002523005,.0036664521,.0042207767,.00004414465,.0027823886,-.0062018577,-.0067454046,-.005988325,-.0084359357,-.005621674,-.0091633527,.0046781218,-.0081102112,-.015215122,-.00014800367,-.040321961,.020995738,.068498679,-.043259487,.096223637,.074234746,-.0055573508,.016798643,-.038525581,-.031414852,-.02510226,.030904172,-.0072057345,-.017826093,-.030091861,-.030698463,.076933227,.071737207,-.014874757,-.011037984,-.015043638,-.013865471,-.010971265,-.011996239,-.010845336,-.010773882,-.025198229,-.024063626,1.2937813
1.51624,.0039281421,.011338789,.12149855,-.003405324,.0021922977,.0015767085,.0017167841,.0016725587,.0025647604,.0023692262,.0046770074,.0039797681,.0018855545,.0046237982,.0025510457,.015983302,.0085860463,.062040865,.11169425,.067057885,.019623345,-.012778575,.00036341074,-.021901982,-.03938628,-.014130042,.0308336,.026036959,-.030700359,-.023287579,-.028630286,-.021908846,-.054889027,-.0519467,-.01897243,-.019054841,-.018332608,-.023740292,.0042228824,.003407774,-.088451192,.06238072,.0081314594,-.0063867406,.020278517,-.01734199,.038707163,-.0096693607,.023300698,-.012297436,-.0019666541,-.016685201,.97396415
5.8887844,.1046699,.12604652,.15258624,.12114781,.0022498826,.0016342934,.001693715,.0016494897,.0031748761,.0023538207,.027232258,.01152303,.089375399,.079186209,.051296551,.12560704,-.0088694729,.039141633,.009738965,-.050308134,.013242292,-.037077319,-.030033717,-.06146368,-.067655392,-.069098331,-.078136906,-.011621509,-.03131789,.013206979,-.0032683397,-.0098948311,.041228354,-.0085833501,-.018689625,-.0187716,-.0071914522,-.012599135,.0059304941,.0051153856,-.25220427,-.17462298,.047843773,.028744765,.11405171,.054137297,.0040716291,.024731392,.024005568,.0080219749,.0622316,.058987554,3.219681
3.5704925,.071977444,.092937052,-.05436179,-.12270597,-.00053890655,-.00073748169,-.0022369099,.0035570634,-.0083272848,.0077407341,-.021748805,.023217529,-.03036662,-.013241387,.03381791,.0063769501,.090778112,.0051361723,.050675031,-.025427116,.0020260459,.024058396,-.020292606,-.047760934,-.035774264,.02512642,-.02289775,-.0043389862,-.0069605941,.037772782,-.0023871406,-.01130721,-.014430756,-.012532705,-.013968416,-.014050392,-.004297378,-.0097050602,.006930334,.0061152251,.038075183,.04163646,-.019795362,-.022213802,-.0067624478,-.0097544231,-.004279864,-.0036367821,-.0025331795,-.0024617261,-.0047043292,-.0035697268,2.3450723
2.3640716,-.062711611,-.097423397,.078331284,-.06799455,-.0091170529,-.0097326422,-.010788316,-.010832542,-.023083728,-.023279263,-.064453483,-.064733192,-.053273723,-.058667254,.041986372,-.035079278,-.021827627,.037442859,.036857214,.0091287112,.035958383,.064871468,.019292079,.014342517,.080147818,.059939243,-.0030066033,.04703673,-.011100657,-.0076516862,.00030972503,.00014695388,-.0065039382,-.0062739425,-.012181981,-.011221422,-.0049409606,-.010348643,.005726485,.0049113766,-.062395208,.049798261,.0051644281,-.010806971,.014484658,-.010609069,-.00043534223,-.016472828,.013551239,-.0049344385,.029630227,-.0069749542,1.4230429
2.1499364,.084021471,.027380023,-.21615191,-.19687624,-.0035391999,-.037951749,.11196035,.016821356,.1596701,.040671207,-.019462919,.075416848,-.06134215,-.059313733,-.064758278,-.049681019,-.021791575,-.015141674,-.023577847,.029053798,.011587286,-.020057295,-.024385527,-.013855355,-.044305496,.039578855,-.053703576,-.0056252354,-.0044853087,-.0059768446,.021858789,-.010832889,-.010115558,-.0094971796,.0042857369,.0042857369,.014036558,.014036558,.0080686146,.0080686146,.096974835,.099510983,-.040523198,-.05575031,-.020377344,-.025756551,-.013772562,-.0089327022,-.0086408416,-.0034316801,-.01366089,-.0056397347,1.1319561
3.31528,-.014508381,-.016693061,-.10212841,-.08249934,.00011512877,-.00050046056,-.0026817487,-.002725974,-.0032218504,-.0034173846,-.011935106,-.01138078,-.0050746393,-.0023363954,-.0065622465,-.0071057933,.00042297287,-.00014807403,.0052971286,.0057170847,.0053886999,.0061505069,.0058461088,.0069432524,-.013374105,-.012731969,-.017177081,-.026493583,-.041633297,-.076417617,.055275835,-.019254349,.13386074,.092901677,-.036389336,.048468094,-.059332374,-.0030325353,-.0088248169,.0053643016,.029323908,.053699587,-.0066900356,-.014856609,-.012014598,-.017604539,-.0087997029,-.0094245831,-.0058777803,-.0081309257,.0040582079,-.0036829289,1.3299564
2.1398125,-.014528941,-.016069707,.13485362,.18153763,.00018902807,-.00042656125,-.0026498795,-.0026941048,-.0031625368,-.003358071,-.011799498,-.011245172,-.0049715163,-.0022332724,-.0065104067,-.0070539531,.00013401422,-.00043703269,.010976096,.0045276256,.0096007269,.0028468806,.0028573177,-.00033830566,-.011778895,-.018219825,.072331004,.00081515196,.047317527,.061535202,-.072850004,.029412633,.0099142361,.0011723397,-.01839182,-.0021919375,-.043446891,-.043488614,.022241494,-.0086229825,-.081662044,-.030438837,.061340414,.031570937,.0069415565,.010683121,.0032060356,.0042783944,.0056370483,-.0026623933,.0045369882,-.013431221,1.0071335
1.8688718,-.015853504,-.018038185,.055301391,-.17025779,.00021758658,-.00039800271,-.0025479172,-.0025921424,-.002875708,-.0030712422,-.011310052,-.010755727,-.0044431905,-.0017049466,-.0060736844,-.0072513469,-.001468672,-.0020397189,.021462414,.0064522284,.057316836,.033559471,.048728511,.045598216,-.012579769,.0037038811,-.0028145441,-.023336031,-.0038021486,.026719604,.0017598885,.0018285407,-.019798724,-.026735317,-.065333202,-.034569219,.0029491826,-.014083949,.00061319879,.0086757056,.00989551,.041675232,.0032983301,-.027909646,-.0031061363,-.012290917,-.0044402094,.0027553984,-.00088027061,-.0014429325,-.0047672191,-.002787129,1.1758531
